date,WCE,world
2015-01,1.695,2.398
2015-02,2.748,2.459
2015-03,1.88,2.356
2015-04,2.722,2.351
2015-05,2.96,2.463
2015-06,2.801,2.421
2015-07,2.07,2.412
2015-08,1.572,2.553
2015-09,1.69,2.182
2015-10,2.133,2.187
2015-11,2.925,2.251
2015-12,3.039,2.281
2016-01,3.021,2.116
2016-02,1.609,2.262
2016-03,3.126,2.309
2016-04,2.425,2.227
2016-05,2.18,2.329
2016-06,3.502,2.339
2016-07,1.986,2.468
2016-08,2.183,2.557
2016-09,1.135,2.164
2016-10,1.154,2.292
2016-11,2.06,2.307
2016-12,2.842,2.309
2017-01,2.275,2.325
2017-02,2.052,2.466
2017-03,2.57,2.242
2017-04,2.156,2.243
2017-05,2.737,2.342
2017-06,2.998,2.322
2017-07,1.928,2.414
2017-08,1.812,2.235
2017-09,1.82,2.175
2017-10,2.662,2.285
2017-11,1.95,2.375
2017-12,2.751,2.49
2018-01,2.444,2.323
2018-02,2.087,2.424
2018-03,1.84,2.3
2018-04,2.32,2.535
2018-05,2.781,2.405
2018-06,2.348,2.386
2018-07,2.606,2.517
2018-08,2.949,2.398
2018-09,2.908,2.311
2018-10,1.218,2.145
2018-11,2.129,2.194
2018-12,2.402,2.446
2019-01,1.307,2.346
2019-02,1.748,2.496
2019-03,1.808,2.316
2019-04,1.86,2.358
2019-05,3.228,2.355
2019-06,2.424,2.386
2019-07,2.088,2.467
2019-08,2.332,2.484
2019-09,1.559,2.256
2019-10,2.168,2.229
2019-11,2.045,2.536
2019-12,2.405,2.384
2020-01,1.842,2.307
2020-02,1.744,2.322
2020-03,2.668,2.417
2020-04,2.404,2.319
2020-05,3.224,2.406
2020-06,2.11,2.275
2020-07,2.36,2.502
2020-08,1.736,2.294
2020-09,1.696,2.139
2020-10,3.219,2.212
2020-11,2.63,2.231
2020-12,2.663,2.419
2021-01,2.131,2.435
2021-02,1.086,2.418
2021-03,1.648,2.331
2021-04,2.096,2.266
2021-05,3.028,2.369
2021-06,3.371,2.378
2021-07,2.291,2.48
2021-08,2.065,2.548
2021-09,2.265,2.288
2021-10,2.598,2.242
2021-11,1.408,2.485
2021-12,2.545,2.416
2022-01,1.707,2.47
2022-02,2.178,2.508
2022-03,2.609,2.331
2022-04,3.25,2.39
2022-05,2.92,2.366
2022-06,2.21,2.504
2022-07,2.13,2.522
2022-08,1.782,2.39
2022-09,2.559,2.339
2022-10,1.825,2.316
2022-11,1.881,2.305
2022-12,2.346,2.374
2023-01,2.093,2.222
2023-02,1.242,2.297
2023-03,1.968,2.192
2023-04,2.758,2.413
2023-05,2.894,2.29
2023-06,2.474,2.504
2023-07,2.152,2.367
2023-08,0.983,2.538
2023-09,2.118,2.298
2023-10,1.617,2.024
2023-11,2.313,2.343
2023-12,2.581,2.391
2024-01,2.98,2.388
2024-02,2.629,2.403
2024-03,2.481,2.574
2024-04,3.149,2.353
2024-05,1.909,2.481
2024-06,1.763,2.582
2024-07,3.036,2.691
2024-08,2.614,2.625
2024-09,1.077,2.279
2024-10,2.031,2.466
2024-11,2.118,2.543
2024-12,2.563,2.594
2025-01,2.539,2.466
2025-02,1.249,2.417
2025-03,1.399,2.412
2025-04,2.278,2.411
2025-05,2.651,2.305
2025-06,3.615,2.411
2025-07,2.364,2.485
2025-08,2.384,2.302
2025-09,2.328,2.43
2025-10,1.082,2.299
2025-11,1.788,2.136
2025-12,2.891,2.494
2026-01,3.202,2.258
2026-02,3.066,2.462
2026-03,1.921,2.395
2026-04,3.146,2.465
2026-05,3.19,2.49
2026-06,3.072,2.537
2026-07,2.642,2.781
2026-08,1.43,2.655
2026-09,2.562,2.63
2026-10,1.427,2.457
2026-11,2.415,2.216
2026-12,3.427,2.388
2027-01,2.461,2.583
2027-02,2.417,2.584
2027-03,2.586,2.692
2027-04,2.092,2.387
2027-05,3.211,2.335
2027-06,2.717,2.372
2027-07,1.955,2.449
2027-08,1.771,2.289
2027-09,1.64,2.12
2027-10,3.294,2.221
2027-11,1.579,2.5
2027-12,2.129,2.215
2028-01,1.87,2.28
2028-02,2.969,2.171
2028-03,2.147,2.322
2028-04,2.229,2.247
2028-05,2.554,2.418
2028-06,2.648,2.409
2028-07,2.276,2.622
2028-08,2.314,2.528
2028-09,2.194,2.313
2028-10,1.964,2.344
2028-11,0.643,2.433
2028-12,2.722,2.441
2029-01,2.935,2.598
2029-02,2.849,2.428
2029-03,1.974,2.42
2029-04,1.96,2.502
2029-05,2.318,2.354
2029-06,2.017,2.459
2029-07,1.862,2.437
2029-08,2.239,2.484
2029-09,3.03,2.322
2029-10,2.484,2.172
2029-11,2.037,2.208
2029-12,1.797,2.246
2030-01,1.786,2.467
2030-02,1.617,2.563
2030-03,2.832,2.361
2030-04,3.152,2.304
2030-05,2.986,2.371
2030-06,2.809,2.347
2030-07,2.33,2.564
2030-08,2.214,2.437
2030-09,1.201,2.066
2030-10,1.565,2.116
2030-11,1.085,2.36
2030-12,2.76,2.563
2031-01,2.697,2.429
2031-02,2.857,2.305
2031-03,1.197,2.427
2031-04,2.048,2.352
2031-05,3.163,2.208
2031-06,2.918,2.365
2031-07,2.881,2.465
2031-08,2.199,2.591
2031-09,1.072,2.472
2031-10,2.402,2.314
2031-11,2.433,2.132
2031-12,2.418,2.314
2032-01,2.219,2.429
2032-02,2.008,2.332
2032-03,1.573,2.297
2032-04,1.72,2.496
2032-05,2.422,2.396
2032-06,2.552,2.44
2032-07,1.773,2.434
2032-08,2.377,2.446
2032-09,1.101,1.923
2032-10,2.476,2.419
2032-11,2.476,2.457
2032-12,3.376,2.46
2033-01,2.36,2.287
2033-02,1.172,2.252
2033-03,3.091,2.223
2033-04,1.826,2.205
2033-05,3.21,2.526
2033-06,2.624,2.234
2033-07,1.84,2.619
2033-08,1.656,2.479
2033-09,1.048,2.365
2033-10,2.009,2.401
2033-11,2.81,2.393
2033-12,1.923,2.492
2034-01,2.461,2.417
2034-02,3.185,2.469
2034-03,1.706,2.639
2034-04,2.168,2.535
2034-05,3.461,2.433
2034-06,3.49,2.422
2034-07,2.905,2.486
2034-08,2.364,2.486
2034-09,2.252,2.373
2034-10,1.913,2.144
2034-11,3.001,2.117
2034-12,2.066,2.39
2035-01,2.719,2.339
2035-02,1.847,2.31
2035-03,2.868,2.134
2035-04,3.435,2.454
2035-05,3.335,2.475
2035-06,2.665,2.551
2035-07,2.15,2.669
2035-08,3.384,2.577
2035-09,2.602,2.472
2035-10,1.283,2.458
2035-11,1.562,2.333
2035-12,1.774,2.506
2036-01,1.897,2.595
2036-02,1.869,2.429
2036-03,1.977,2.164
2036-04,2.505,2.323
2036-05,2.658,2.436
2036-06,2.511,2.347
2036-07,1.739,2.37
2036-08,1.785,2.257
2036-09,1.575,2.183
2036-10,1.362,2.259
2036-11,2.894,2.41
2036-12,2.916,2.532
2037-01,1.987,2.163
2037-02,1.736,2.349
2037-03,1.426,2.522
2037-04,1.356,2.322
2037-05,1.533,2.421
2037-06,2.872,2.475
2037-07,1.692,2.63
2037-08,1.252,2.465
2037-09,2.122,2.381
2037-10,1.687,2.125
2037-11,4.324,2.639
2037-12,3.055,2.392
2038-01,2.396,2.41
2038-02,1.991,2.406
2038-03,2.8,2.525
2038-04,2.083,2.339
2038-05,2.629,2.327
2038-06,2.927,2.533
2038-07,2.89,2.586
2038-08,0.958,2.531
2038-09,1.778,2.27
2038-10,1.408,2.221
2038-11,1.992,2.237
2038-12,1.839,2.343
2039-01,2.205,2.464
2039-02,2.158,2.658
2039-03,2.005,2.442
2039-04,2.848,2.209
2039-05,2.336,2.255
2039-06,2.689,2.385
2039-07,1.599,2.369
2039-08,1.552,2.376
2039-09,2.229,2.156
2039-10,2.076,2.223
2039-11,2.93,2.52
2039-12,2.952,2.173
2040-01,2.685,2.382
2040-02,2.727,2.409
2040-03,2.265,2.351
2040-04,2.121,2.495
2040-05,2.754,2.359
2040-06,3.347,2.596
2040-07,2.736,2.58
2040-08,1.698,2.484
2040-09,1.097,2.36
2040-10,1.729,2.159
2040-11,2.79,2.266
2040-12,2.16,2.563
2041-01,3.035,2.513
2041-02,3.191,2.434
2041-03,3.285,2.24
2041-04,3.282,2.247
2041-05,2.359,2.497
2041-06,2.914,2.418
2041-07,2.524,2.458
2041-08,2.059,2.414
2041-09,1.876,2.237
2041-10,1.853,2.153
2041-11,2.197,2.463
2041-12,2.806,2.5
2042-01,3.032,2.412
2042-02,2.529,2.379
2042-03,3.287,2.436
2042-04,2.019,2.347
2042-05,3.186,2.369
2042-06,2.061,2.519
2042-07,3.255,2.633
