date,WCE,world
2015-01,-6.434,4.206
2015-02,-4.096,4.16
2015-03,3.664,6.232
2015-04,6.291,8.977
2015-05,11.982,10.989
2015-06,16.672,13.87
2015-07,19.039,14.683
2015-08,18.489,14.159
2015-09,13.47,12.401
2015-10,10.204,10.652
2015-11,-0.112,7.578
2015-12,-1.163,5.12
2016-01,-3.351,4.332
2016-02,-3.179,4.141
2016-03,1.017,6.568
2016-04,6.579,8.681
2016-05,14.264,11.757
2016-06,18.597,13.877
2016-07,18.644,15.332
2016-08,17.685,14.44
2016-09,15.35,12.755
2016-10,8.253,10.766
2016-11,2.897,7.563
2016-12,-0.917,5.406
2017-01,-2.254,3.48
2017-02,-2.666,4.022
2017-03,1.75,6.453
2017-04,5.604,8.363
2017-05,13.182,11.374
2017-06,18.158,13.477
2017-07,19.464,15.341
2017-08,16.76,14.548
2017-09,13.277,12.486
2017-10,7.984,10.252
2017-11,3.71,7.713
2017-12,0.64,5.772
2018-01,-3.878,3.509
2018-02,-1.851,4.445
2018-03,0.152,6.132
2018-04,8.317,8.779
2018-05,10.667,11.217
2018-06,15.849,13.956
2018-07,21.129,14.567
2018-08,16.976,14.468
2018-09,11.375,12.322
2018-10,5.879,10.055
2018-11,4.202,7.421
2018-12,0.39,4.923
2019-01,-2.131,3.791
2019-02,-1.723,4.679
2019-03,0.622,6.642
2019-04,7.412,9.08
2019-05,13.907,11.612
2019-06,15.801,14.1
2019-07,20.438,15.373
2019-08,20.276,14.737
2019-09,14.417,12.601
2019-10,9.027,10.953
2019-11,0.896,7.559
2019-12,-7.43,4.841
2020-01,-9.369,3.905
2020-02,-4.375,4.128
2020-03,1.088,6.372
2020-04,6.118,9.368
2020-05,11.215,11.711
2020-06,17.447,13.824
2020-07,19.726,15.331
2020-08,17.763,14.597
2020-09,11.676,12.499
2020-10,5.611,10.151
2020-11,3.126,7.188
2020-12,-3.279,5.171
2021-01,-4.926,4.15
2021-02,-2.665,4.059
2021-03,2.061,6.581
2021-04,5.462,9.16
2021-05,11.932,11.535
2021-06,17.289,13.716
2021-07,19.391,15.164
2021-08,18.289,14.961
2021-09,14.581,13.025
2021-10,8.935,10.82
2021-11,-1.618,7.284
2021-12,1.348,5.803
2022-01,-0.417,4.089
2022-02,-3.224,4.632
2022-03,2.406,6.722
2022-04,6.885,9.302
2022-05,10.859,11.738
2022-06,18.454,13.92
2022-07,19.295,15.256
2022-08,16.767,14.859
2022-09,13.602,12.857
2022-10,10.456,11.005
2022-11,2.916,7.504
2022-12,2.577,5.353
2023-01,-4.119,3.971
2023-02,-0.644,4.627
2023-03,2.236,5.938
2023-04,5.477,8.652
2023-05,10.97,11.45
